date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:02	6876/6876	---M-Z	200	added ('OK')	text/html	etag:%221adc-55bf928f9d800-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html	(from )
17:10:02	278/278	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2016:10:02%20GMT	https://cb.wunderkis.de/robots.txt		(from )
17:10:02	10827/10827	---M-Z	200	added ('OK')	text/html	etag:%222a4b-53ebf45b94a40-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/5FIRFiltersPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/5FIRFiltersPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:02	10475/10475	---M-Z	200	added ('OK')	text/html	etag:%2228eb-533eda6e75f00-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/4IIRFilterPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/4IIRFilterPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:03	8675/8675	---M-Z	200	added ('OK')	text/html	etag:%2221e3-5374aab43ad00-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/9RFFiltersPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/9RFFiltersPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:03	3411/3411	---M-Z	200	added ('OK')	text/html	etag:%22d53-525c847739f80-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/6OpAmpFilterPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/6OpAmpFilterPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:03	8351/8351	---M-Z	200	added ('OK')	text/html	etag:%22209f-50281335812c0-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/A5HilbertPhasePage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/A5HilbertPhasePage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:03	5087/5087	---M-Z	200	added ('OK')	text/html	etag:%2213df-5242025c871c0-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/FilterPolynomials.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/FilterPolynomials.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:03	8683/8683	---M-Z	200	added ('OK')	text/html	etag:%2221eb-55bf928bccf00-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/8DownloadPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/8DownloadPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:04	11406/11406	---M-Z	200	added ('OK')	text/html	etag:%222c8e-52c613c058d80-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/A4IIRBilinearTransform.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/A4IIRBilinearTransform.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:04	21713/21713	---M-Z	200	added ('OK')	text/html	etag:%2254d1-53ebf45d7cec0-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/FIRFiltersByFreqSampling.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/FIRFiltersByFreqSampling.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:04	2491/2491	---M-Z	200	added ('OK')	text/html	etag:%229bb-531f4bb514500-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/IIRChebyshevFilters.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/IIRChebyshevFilters.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:04	2738/2738	---M-Z	200	added ('OK')	text/html	etag:%22ab2-531f4bb608740-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/IIRInverseChebyshevFilters.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/IIRInverseChebyshevFilters.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:05	3522/3522	---M-Z	200	added ('OK')	text/html	etag:%22dc2-54c6b9421ad80-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/IIREllipticFilters.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/IIREllipticFilters.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:05	7897/7897	---M-Z	200	added ('OK')	text/html	etag:%221ed9-51b265f1d0d80-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/B2PolynomialFIRFilters.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/B2PolynomialFIRFilters.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:05	19664/19664	---M-Z	200	added ('OK')	text/html	etag:%224cd0-5028133769740-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/A8FirIirDifferences.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/A8FirIirDifferences.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
17:10:05	4956/4956	---M-Z	200	added ('OK')	text/html	etag:%22135c-5028131420400-gzip%22	https://cb.wunderkis.de/wk-pub/www.iowahills.com/7AdjustablePolyPage.html	C:/Users/andresmmera/Documents/Iowa%20Hills/cb.wunderkis.de/wk-pub/www.iowahills.com/7AdjustablePolyPage.html	(from https://cb.wunderkis.de/wk-pub/www.iowahills.com/Index.html)
